industry_name,total,dem,repub,year
Foreign & Defense Policy,1124060,468905,655155,2016
Pro-Israel,2853731,1289454,1564277,2016
Women's Issues,1336459,979384,357075,2016
Human Rights,2817790,2357324,460466,2016
Environment,1423986,1332969,91017,2016
Gun Control,86405,86405,0,2016
Gun Rights,2136210,61000,2075210,2016
Abortion Policy/Anti-Abortion,351944,5500,346444,2016
Abortion Policy/Pro-Abortion Rights,1119698,1104198,15500,2016
Airlines,1964299,704402,1259897,2016
Auto manufacturers,2631072,1085325,1545747,2016
"Auto dealers, new & used",2895935,760985,2134950,2016
"Auto dealers, foreign imports",1401250,144000,1257250,2016
Cruise ships & lines,176800,68700,108100,2016
Other,1576383,526697,1049686,2016
Non-Profit Institutions,621523,240622,380901,2016
Education,806610,204025,602585,2016
Clergy & Religious Organizations,30200,27000,3200,2016
Unknown,50699,20200,30499,2016
