industry_name,total,dem,repub,year
"Professional sports, arenas & related equip & svcs",227788,118288,109500,2004
Indian Gaming,126936,68305,58631,2004
Correctional facilities constr & mgmt/for-profit,187450,30250,157200,2004
Health,31347995,10707440,20640555,2004
Health Professionals,16430653,5747276,10683377,2004
Hospitals/Nursing Homes,4131073,1682454,2448619,2004
Health Services/HMOs,2567245,874127,1693118,2004
Pharmaceuticals/Health Products,8198549,2398008,5800541,2004
Dentists,2468023,940397,1527626,2004
Chiropractors,314211,95073,219138,2004
Nurses,1143703,695356,448347,2004
Medical Devices & Supplies,1253474,376332,877142,2004
Pharmaceutical manufacturing,5389772,1485077,3904695,2004
Nutritional & dietary supplements,78030,30780,47250,2004
For-profit Education,186460,71910,114550,2004
Democratic leadership PAC,8087984,8055984,32000,2004
Republican leadership PAC,21271610,24000,21247610,2004
LGBTQIA Rights & Issues,1180817,1051942,128875,2004
Lawyers & Lobbyists,11330983,6130497,5200486,2004
Lawyers/Law Firms,10324927,5711850,4613077,2004
Lobbyists,1006056,418647,587409,2004
Teachers unions,3393578,3216228,177350,2004
US Postal Service unions & associations,4515942,3499845,1016097,2004
Air transport unions,3629200,2617200,1012000,2004
Transportation,17385587,4984523,12401064,2004
Air Transport,6512040,2030666,4481374,2004
Automotive,5258252,1300440,3957812,2004
Trucking,1111784,202979,908805,2004
Railroads,2803383,712335,2091048,2004
Sea Transport,1218194,588719,629475,2004
Clothing & accessories,24500,1000,23500,2004
Misc Business,25294487,6402637,18891850,2004
Business Associations,1274776,101405,1173371,2004
Food & Beverage,3592907,508232,3084675,2004
"Beer, Wine & Liquor",4714336,1457259,3257077,2004
Retail Sales,4488002,1023040,3464962,2004
Misc Services,569720,224375,345345,2004
Business Services,1345228,377632,967596,2004
Recreation/Live Entertainment,332288,121288,211000,2004
Casinos/Gambling,1354374,633304,721070,2004
Lodging/Tourism,543863,127500,416363,2004
Chemical & Related Manufacturing,2166841,490234,1676607,2004
Steel Production,427175,156498,270677,2004
Misc Manufacturing & Distributing,3979959,1070108,2909851,2004
Textiles,76068,35012,41056,2004
Labor,55055240,47825788,7229452,2004
Building Trade Unions,12046499,10411820,1634679,2004
Industrial Unions,10625803,10368473,257330,2004
Transportation Unions,12069278,9582882,2486396,2004
Public Sector Unions,14567698,12265226,2302472,2004
Misc Unions,5745962,5197387,548575,2004
Ideological/Single-Issue,47862072,18639338,29222734,2004
Republican/Conservative,2285296,5706,2279590,2004
Democratic/Liberal,2490288,2470188,20100,2004
Leadership PACs,30603688,8618013,21985675,2004
Foreign & Defense Policy,716469,322569,393900,2004
Pro-Israel,3349438,2014024,1335414,2004
Women's Issues,646693,442890,203803,2004
Human Rights,2676958,2202393,474565,2004
Environment,693956,565253,128703,2004
Gun Control,96150,95150,1000,2004
Gun Rights,1373902,176146,1197756,2004
Abortion Policy/Anti-Abortion,557386,9735,547651,2004
Abortion Policy/Pro-Abortion Rights,1203903,1029873,174030,2004
Airlines,1092512,390700,701812,2004
Auto manufacturers,1388020,324190,1063830,2004
"Auto dealers, new & used",2488800,680000,1808800,2004
"Auto dealers, foreign imports",838000,121000,717000,2004
Cruise ships & lines,239300,120750,118550,2004
Other,917217,527050,390167,2004
Non-Profit Institutions,39015,13665,25350,2004
Education,248377,88010,160367,2004
Unknown,195280,107210,88070,2004
